Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Дверь Лофт 3,ДВ-ЛОФ-3,ДВ-ЛОФ-3,RUB,3,16900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/601/3%20%D0%9A%D0%B0%D1%88%D1%82%D0%B0%D0%BD%20%D0%B4%D0%BB%D1%8F%20%D1%81%D0%B0%D0%B9%D1%82%D0%B0.png,,,,,,,,Дверь Оникс,
Дверь Лофт 4,ДВ-ЛОФ-4,ДВ-ЛОФ-4,RUB,4,16900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/897/%D0%94%D1%83%D0%B1%20%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20-%20%D0%9B%D0%9E%D0%A4%D0%A2%20%E2%84%96%204.jpg,,,,,,,,Дверь Оникс,
Дверь Лофт 5,ДВ-ЛОФ-5,ДВ-ЛОФ-5,RUB,5,16900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/5c0/%D0%90%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81%20-%20%D0%9D%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9%20%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.png,,,,,,,,Дверь Оникс,
Дверь Авангард,ДВ-АВА-0,ДВ-АВА-0,RUB,0,12800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/f35/02.jpg,,,,,,,,Дверь Оникс,
Дверь Акцент,ДВ-АКЦ-1,ДВ-АКЦ-1,RUB,1,11800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/061/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%282%29.png,,,,,,,,Дверь Оникс,
Дверь Берлин,ДВ-БЕР-2,ДВ-БЕР-2,RUB,2,18600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/716/%D0%94%D1%83%D0%B1%20%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20-%20%D0%9D%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9.jpg,,,,,,,,Дверь Оникс,
Дверь Токио,ДВ-ТОК-3,ДВ-ТОК-3,RUB,3,23200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/2fb/%D0%94%D0%B2%D0%B5%D1%80%D1%8C%20%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%A1%D0%A0L%20%D0%BE%D1%84%D1%82%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.png,,,,,,,,Дверь Оникс,
Дверь New York (Нью-Йорк),ДВ-NEW-4,ДВ-NEW-4,RUB,4,24800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/0ef/%D0%9D%D1%8C%D1%8E-%D0%99%D0%BE%D1%80%D0%BA.jpg,,,,,,,,Дверь Оникс,
Дверь Верона,ДВ-ВЕР-5,ДВ-ВЕР-5,RUB,5,10400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/d05/ukfdyfz.png,,,,,,,,Дверь Оникс,
Дверь Верона 2,ДВ-ВЕР-6,ДВ-ВЕР-6,RUB,6,11200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/1ab/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%281%29.png,,,,,,,,Дверь Оникс,
