Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Планка фрезерованная,ПИ-ФРЕ-5,ПИ-ФРЕ-5,RUB,5,4060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/867/%D0%BF%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D1%84%D1%80%D0%B5%D0%B7%D0%B01.jpg,,,,,,,,Погонажные изделия,
Планка контурная,ПИ-КОН-6,ПИ-КОН-6,RUB,6,4060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/4c5/%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D1%81%D0%BB%D0%BE%D0%BD%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%20-%20%D0%9F%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BB%D0%B0%D0%BD%D0%BA%D0%B0%20%D0%BA%D0%BE%D0%BD%D1%82%D1%83%D1%80%D0%BD%D0%B0%D1%8F%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Планка севилья,ПИ-СЕВ-7,ПИ-СЕВ-7,RUB,7,4060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/85d/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B5%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%20%D1%87.%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%20-%20%D0%9F%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF.%20%D0%BF%D0%BB%D0%B0%D0%BD%D0%BA%D0%B0%20%D0%A1%D0%B5%D0%B2%D0%B8%D0%BB%D1%8C%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.jpg,,,,,,,,Погонажные изделия,
Розетка ретро малая,ПИ-РЕТ-0,ПИ-РЕТ-0,RUB,0,810,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/c6a/%D1%80%D0%B5%D1%82%D1%80%D0%BE%20%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%20%D0%BC%D0%B0%D0%BB%D0%B0%D1%8F.jpg,,,,,,,,Погонажные изделия,
Розетка ретро большая,ПИ-РЕТ-1,ПИ-РЕТ-1,RUB,1,1060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/47f/%D1%80%D0%B5%D1%82%D1%80%D0%BE%20%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%81%D0%BB%D0%BE%D0%BD%20%D0%BF%D0%B0%D1%82%20%D0%B7%D0%BE%D0%BB%20%20%20%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F.jpg,,,,,,,,Погонажные изделия,
Розетка гладкая малая,ПИ-ГЛА-2,ПИ-ГЛА-2,RUB,2,570,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/fe9/%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B0%20%D0%B3%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%8F%20%D0%BC%D0%B0%D0%BB%D0%B0%D1%8F_%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C.jpg,,,,,,,,Погонажные изделия,
Розетка гладкая большая,ПИ-ГЛА-3,ПИ-ГЛА-3,RUB,3,740,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/5ab/%D0%B3%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%8F%20%D1%8F%D1%81%D0%B5%D0%BD%D1%8C%20%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B6%D0%BD%D1%8B%D0%B9.jpg,,,,,,,,Погонажные изделия,
Розетка цветок малая,ПИ-ЦВЕ-4,ПИ-ЦВЕ-4,RUB,4,810,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/1ff/%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B0%20%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%BA%20%D0%BC%D0%B0%D0%BB%D0%B0%D1%8F_%D0%BA%D1%80%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE.jpg,,,,,,,,Погонажные изделия,
Розетка цветок большая,ПИ-ЦВЕ-5,ПИ-ЦВЕ-5,RUB,5,1060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/9e0/%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B0%20%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%BA%20%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F_%D0%BA%D1%80%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE.jpg,,,,,,,,Погонажные изделия,
Розетка пирамида малая,ПИ-ПИР-6,ПИ-ПИР-6,RUB,6,810,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/c4a/%D0%BF%D0%B8%D1%80%D0%B0%D0%BC%D0%B8%D0%B4%D0%B0_%D0%BC%D0%B0%D0%BB%D0%B0%D1%8F.jpg,,,,,,,,Погонажные изделия,
